,Characters,Dialogue,Movie
684,ANAKIN, He's been a father to me but he's still on the Council. Don't tell him anything!,Revenge of the Sith
685,PADME, I won't Anakin.,Revenge of the Sith
686,ANAKIN, I don't need his help . . . Our baby is a blessing not a problem.,Revenge of the Sith
689,YODA, Premonitions . . . premonitions . . . Hmmmm . . . these visions you have . . .,Revenge of the Sith
690,ANAKIN, They are of pain suffering death . . .,Revenge of the Sith
691,YODA, Yourself you speak of or someone you know?,Revenge of the Sith
692,ANAKIN, Someone . . .,Revenge of the Sith
693,YODA, . . . close to you?,Revenge of the Sith
694,ANAKIN, Yes.,Revenge of the Sith
695,YODA, Careful you must be when sensing the future Anakin. The fear of loss is a path to the dark side.,Revenge of the Sith
696,ANAKIN, I won't let these visions come true Master Yoda.,Revenge of the Sith
697,YODA, Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them do not. Miss them do not. Attachment leads to jealousy. The shadow of greed that is.,Revenge of the Sith
698,ANAKIN, What must I do Master Yoda?,Revenge of the Sith
699,YODA, Train yourself to let go of everything you fear to lose.,Revenge of the Sith
704,OBI-WAN, You missed the report on the Outer Rim sieges.,Revenge of the Sith
