,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
405,United States,Bhutan,2016,5974,37.09024,-95.712891,27.514162,90.433601
406,United States,Central African Republic,2016,555,37.09024,-95.712891,6.611111,20.939444
407,United States,China,2016,57,37.09024,-95.712891,35.86166,104.195397
408,United States,Cte d'Ivoire,2016,65,37.09024,-95.712891,7.539989,-5.54708
409,United States,Cameroon,2016,18,37.09024,-95.712891,7.369722,12.354722
411,United States,Congo [DRC],2016,16,37.09024,-95.712891,-4.038333000000001,21.758664000000003
412,United States,Colombia,2016,476,37.09024,-95.712891,4.570868,-74.297333
413,United States,Cuba,2016,351,37.09024,-95.712891,21.521757,-77.78116700000001
415,United States,Egypt,2016,27,37.09024,-95.712891,26.820553000000004,30.802497999999996
416,United States,Eritrea,2016,2011,37.09024,-95.712891,15.179383999999999,39.782334000000006
417,United States,Ethiopia,2016,1322,37.09024,-95.712891,9.145,40.489672999999996
419,United States,Georgia,2016,11,37.09024,-95.712891,42.315407,43.356891999999995
420,United States,Guinea,2016,5,37.09024,-95.712891,9.945587,-9.696645
421,United States,Gambia,2016,5,37.09024,-95.712891,13.443182,-15.310139000000001
422,United States,Guatemala,2016,24,37.09024,-95.712891,15.783470999999999,-90.23075899999999
423,United States,Honduras,2016,140,37.09024,-95.712891,15.199998999999998,-86.241905
426,United States,India,2016,5,37.09024,-95.712891,20.593684,78.96288
427,United States,Iran,2016,4152,37.09024,-95.712891,32.427908,53.68804599999999
428,United States,Iraq,2016,11332,37.09024,-95.712891,33.223191,43.679291
430,United States,Jordan,2016,6,37.09024,-95.712891,30.585164000000002,36.238414
431,United States,Kazakhstan,2016,82,37.09024,-95.712891,48.019573,66.923684
432,United States,Kenya,2016,6,37.09024,-95.712891,-0.023559,37.906193
433,United States,Kyrgyzstan,2016,54,37.09024,-95.712891,41.20438,74.766098
434,United States,Cambodia,2016,17,37.09024,-95.712891,12.565679,104.990963
435,United States,Kuwait,2016,6,37.09024,-95.712891,29.311659999999996,47.481766
436,United States,Laos,2016,7,37.09024,-95.712891,19.856270000000002,102.495496
437,United States,Liberia,2016,19,37.09024,-95.712891,6.4280550000000005,-9.429499
439,United States,Sri Lanka,2016,84,37.09024,-95.712891,7.873054,80.77179699999999
440,United States,Latvia,2016,8,37.09024,-95.712891,56.879635,24.603189
442,United States,Moldova,2016,550,37.09024,-95.712891,47.411631,28.369884999999996
444,United States,Myanmar [Burma],2016,11572,37.09024,-95.712891,21.913965,95.956223
447,United States,Nigeria,2016,7,37.09024,-95.712891,9.081999,8.675277000000001
449,United States,Nepal,2016,33,37.09024,-95.712891,28.394857000000002,84.12400799999999
450,United States,Pakistan,2016,604,37.09024,-95.712891,30.375321000000003,69.345116
452,United States,North Korea,2016,19,37.09024,-95.712891,40.339852,127.510093
453,United States,Palestinian Territories,2016,71,37.09024,-95.712891,31.952162,35.233154
455,United States,Rwanda,2016,150,37.09024,-95.712891,-1.940278,29.873888
456,United States,Sudan,2016,1479,37.09024,-95.712891,12.862807,30.217636
457,United States,Senegal,2016,27,37.09024,-95.712891,14.497401000000002,-14.452361999999999
458,United States,Sierra Leone,2016,5,37.09024,-95.712891,8.460555000000001,-11.779889
459,United States,El Salvador,2016,757,37.09024,-95.712891,13.794185,-88.89653
460,United States,Somalia,2016,10786,37.09024,-95.712891,5.152149,46.199616
462,United States,Sudan,2016,221,37.09024,-95.712891,12.862807,30.217636
464,United States,Syria,2016,15479,37.09024,-95.712891,34.802075,38.996815000000005
465,United States,Chad,2016,7,37.09024,-95.712891,15.454166,18.732207
466,United States,Togo,2016,14,37.09024,-95.712891,8.619543,0.824782
471,United States,Uganda,2016,71,37.09024,-95.712891,1.373333,32.290275
472,United States,Ukraine,2016,3642,37.09024,-95.712891,48.379433,31.16558
473,United States,Uzbekistan,2016,46,37.09024,-95.712891,41.377491,64.585262
474,United States,Vietnam,2016,57,37.09024,-95.712891,14.058323999999999,108.277199
475,United States,Yemen,2016,27,37.09024,-95.712891,15.552726999999999,48.516388
477,United States,Zimbabwe,2016,11,37.09024,-95.712891,-19.015438,29.154857
