,Genre,Movies,Release_Date,WGross
2022,Genre: Comedy,Anchorman 2:The Legend Continues,"Release Date: December 18, 2013"," $173,649,015"
2023,Genre: Action Drama,Lone Survivor,"Release Date: December 25, 2013"," $154,802,912"
2024,Genre: Action,G.I. Joe:Retaliation,"Release Date: March 28, 2013"," $375,740,705"
2025,Genre: Animation,Cloudy with a Chance of Meatballs 2,"Release Date: September 27, 2013"," $274,325,949"
2026,Genre: Thriller,Now You See Me 2,"Release Date: June 10, 2016"," $334,901,337"
2027,Genre: Drama,The Wolf of Wall Street,"Release Date: December 25, 2013"," $392,000,694"
2028,Genre: Drama,Lee Daniels' The Butler,"Release Date: August 16, 2013"," $176,598,908"
2029,Genre: Comedy,The Hangover Part III,"Release Date: May 23, 2013"," $362,000,072"
2030,Genre: Animation,Captain Underpants:The First Epic Movie,"Release Date: June 2, 2017"," $125,328,203"
2031,Genre: Drama,Captain Phillips,"Release Date: October 11, 2013"," $218,791,811"
2032,Genre: Comedy,Jackass Presents:Bad Grandpa,"Release Date: October 25, 2013"," $151,831,537"
2034,Genre: Comedy,This is the End,"Release Date: June 12, 2013"," $126,041,322"
2035,Genre: Thriller,Olympus Has Fallen,"Release Date: March 22, 2013"," $170,270,201"
2036,Genre: Sports Drama,42,"Release Date: April 12, 2013",Writer:
2037,Genre: Sci-Fi,Elysium,"Release Date: August 9, 2013"," $286,140,700"
2038,Genre: Animation,Planes:Fire & Rescue,"Release Date: July 18, 2014"," $151,386,640"
2039,Genre: Western,The Lone Ranger,"Release Date: July 3, 2013"," $260,502,115"
2040,Genre: Sci-Fi Adventure,Oblivion,"Release Date: April 19, 2013"," $286,168,572"
2041,Genre: Horror,Insidious Chapter 2,"Release Date: September 13, 2013"," $161,919,318"
2042,Genre: Drama,Saving Mr. Banks,"Release Date: December 13, 2013"," $117,867,984"
2043,Genre: Action,Turbo Kid,"Release Date: August 28, 2015",Writers:
2044,Genre: Action Comedy,2 Guns,"Release Date: August 2, 2013"," $131,940,411"
2045,Genre: Drama,Mark Felt:The Man Who Brought Down the White House,"Release Date: September 29, 2017"," $768,946"
2046,Genre: Horror,Mama,"Release Date: January 18, 2013"," $146,428,180"
2047,Genre: Romance,Safe Haven,"Release Date: February 14, 2013"," $97,594,140"
2048,Genre: Family Comedy,The Smurfs 2,"Release Date: July 31, 2013"," $347,545,360"
2049,Genre: Comedy / Drama,The Best Man Holiday,"Release Date: November 15, 2013"," $72,835,710"
2050,Genre: Fantasy,Percy Jackson:Sea of Monsters,"Release Date: August 7, 2013"," $199,850,315"
2051,Genre: Action,A Good Day to Die Hard,"Release Date: February 14, 2013"," $304,654,182"
2052,Genre: Drama,Warm Bodies,"Release Date: February 1, 2013"," $116,980,662"
2053,Genre: Adventure,Jack the Giant Slayer,"Release Date: March 1, 2013"," $197,687,603"
2055,Genre: Comedy,Last Vegas,"Release Date: November 1, 2013"," $134,402,450"
2056,Genre: Sci-Fi,Ender's Game,"Release Date: November 1, 2013"," $125,537,191"
2057,Genre: Action Thriller,Prisoners,"Release Date: September 20, 2013"," $122,126,687"
2058,Genre: Sci-Fi,After Earth,"Release Date: May 31, 2013"," $243,843,127"
2059,Genre: Comedy,The Secret Life of Walter Mitty,"Release Date: December 25, 2013"," $188,133,322"
2060,Genre: Animation,Escape From Planet Earth,"Release Date: February 15, 2013"," $74,597,643"
2061,Genre: Drama,12 Years a Slave,"Release Date: October 18, 2013"," $187,733,202"
2062,Genre: Animation,Free Birds,"Release Date: November 1, 2013"," $110,387,072"
2063,Genre: Action Comedy,Hansel and Gretel:Witch Hunters,"Release Date: January 25, 2013"," $226,349,749"
2064,Genre: Horror,Evil Dead (2013),"Release Date: April 5, 2013"," $97,542,952"
2066,Genre: Comedy,Tyler Perry's A Madea Christmas,"Release Date: December 13, 2013"," $53,396,354"
2067,Genre: Drama,Tyler Perry's Temptation:Confessions of a Marriage Counselor,"Release Date: March 29, 2013"," $53,125,354"
2069,Genre: Action,Pain and Gain,"Release Date: April 26, 2013"," $86,175,291"
2070,Genre: Crime Drama,Gangster Squad,"Release Date: January 11, 2013"," $105,200,903"
2072,Genre: Comedy,The Internship,"Release Date: June 7, 2013"," $93,492,844"
2073,Genre: Foreign,Instructions Not Included,"Release Date: August 30, 2013"," $99,067,206"
2074,Genre: Foreign,The Snitch Cartel,"Release Date: October 18, 2013"," $2,081,908"
2075,Genre: Sci-Fi Fantasy,Riddick,"Release Date: September 6, 2013"," $98,337,295"
2076,Genre: Horror Comedy,A Haunted House 2,"Release Date: April 18, 2014"," $23,959,486"
2077,Genre: Action Drama,47 Ronin,"Release Date: December 25, 2013"," $151,783,839"
2078,Genre: Comedy / Drama,August:Osage County,"Release Date: December 27, 2013"," $74,188,937"
2079,Genre: Drama,Philomena,"Release Date: November 22, 2013"," $100,129,872"
2081,Genre: Family Adventure,Walking with Dinosaurs,"Release Date: December 20, 2013"," $126,546,518"
2084,Genre: Action / Adventure,R.I.P.D.,"Release Date: July 19, 2013"," $78,324,220"
2085,Genre: Comedy,Blue Jasmine,"Release Date: July 26, 2013"," $97,505,481"
2086,Genre: Concert,Kevin Hart:Let Me Explain,"Release Date: July 3, 2013"," $32,318,051"
2087,Genre: Foreign,Shaadi Ke Side Effects,"Release Date: February 28, 2014"," $921,277"
2088,Genre: Comedy,Scary Movie 5,"Release Date: April 12, 2013"," $78,378,744"
2089,Genre: Fantasy Drama,The Mortal Instruments:City of Bones,"Release Date: August 21, 2013"," $95,396,573"
2090,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
2091,Genre: Sports Comedy,Grudge Match,"Release Date: December 25, 2013"," $44,907,260"
2092,Genre: Concert,One Direction:This is Us,"Release Date: August 30, 2013"," $68,532,898"
2093,Genre: Action Comedy,Kick-Ass 2,"Release Date: August 16, 2013"," $60,795,985"
2094,Genre: Drama,Dallas Buyers Club,"Release Date: November 1, 2013"," $55,198,285"
2095,Genre: Action Drama,Rush (2013),"Release Date: September 20, 2013"," $90,247,624"
2096,Genre: Drama,Hostiles,"Release Date: December 22, 2017",Writer:
2097,Genre: Comedy,The World's End,"Release Date: August 23, 2013"," $46,089,287"
2098,Genre: Comedy,21 and Over,"Release Date: March 1, 2013"," $48,065,672"
2100,Genre: Drama,American Sniper,"Release Date: December 25, 2014"," $547,426,372"
2101,Genre: Action / Adventure,The Hunger Games:Mockingjay - Part 1,"Release Date: November 21, 2014"," $755,356,711"
2102,Genre: Action / Adventure,Guardians of the Galaxy Vol. 2,"Release Date: May 5, 2017"," $863,732,512"
2103,Genre: Action / Adventure,Captain America:The Winter Soldier,"Release Date: April 4, 2014"," $714,264,267"
2105,Genre: Fantasy,The Hobbit:The Battle of the Five Armies,"Release Date: December 17, 2014"," $956,019,788"
2106,Genre: Sci-Fi Action,Transformers:Age of Extinction,"Release Date: June 27, 2014"," $1,104,054,072"
2107,Genre: Fantasy,Maleficent,"Release Date: May 30, 2014"," $758,539,785"
2108,Genre: Action / Adventure,X-Men:Days of Future Past,"Release Date: May 23, 2014"," $747,862,775"
2109,Genre: Animation,Big Hero 6,"Release Date: November 7, 2014"," $657,818,612"
2110,Genre: Sci-Fi Action,Dawn of the Planet of the Apes,"Release Date: July 11, 2014"," $710,644,566"
2111,Genre: Action / Adventure,The Amazing Spider-Man 2,"Release Date: May 2, 2014"," $708,982,323"
2113,Genre: Action Comedy,22 Jump Street,"Release Date: June 13, 2014"," $331,333,876"
2114,Genre: Action / Adventure,Teenage Mutant Ninja Turtles:Out of the Shadows,"Release Date: June 3, 2016"," $245,623,848"
2115,Genre: Sci-Fi Adventure,Interstellar,"Release Date: November 5, 2014"," $677,463,813"
2116,Genre: Animation,How to Train Your Dragon 2,"Release Date: June 13, 2014"," $621,537,519"
2117,Genre: Thriller,Gone Girl,"Release Date: October 3, 2014"," $369,330,363"
2119,Genre: Comedy,Neighbors 2:Sorority Rising,"Release Date: May 20, 2016"," $108,007,109"
2120,Genre: Action Comedy,Ride Along 2,"Release Date: January 15, 2016"," $124,605,297"
2121,Genre: Animation,Rio 2,"Release Date: April 11, 2014"," $500,101,972"
2122,Genre: Musical,Into the Woods,"Release Date: December 25, 2014"," $213,116,401"
2124,Genre: Drama,The Fault in our Stars,"Release Date: June 6, 2014"," $307,166,834"
2125,Genre: War Drama,Unbroken,"Release Date: December 25, 2014"," $163,442,937"
2126,Genre: Family Adventure,Night at the Museum:Secret of the Tomb,"Release Date: December 19, 2014"," $363,204,635"
2127,Genre: Animation,Mr. Peabody & Sherman,"Release Date: March 7, 2014"," $275,698,039"
2131,Genre: Drama,Noah,"Release Date: March 28, 2014"," $362,637,473"
2132,Genre: Sci-Fi Action,Edge of Tomorrow,"Release Date: June 6, 2014"," $370,541,256"
2133,Genre: Comedy,Popstar:Never Stop Never Stopping,"Release Date: June 3, 2016",Actors:
2134,Genre: Drama,Heaven is for Real,"Release Date: April 16, 2014"," $101,332,962"
2135,Genre: Drama,The Imitation Game,"Release Date: November 28, 2014"," $233,555,708"
2136,Genre: Comedy,Dumb and Dumber To,"Release Date: November 14, 2014"," $169,837,010"
2137,Genre: Musical,Annie (2014),"Release Date: December 19, 2014"," $133,821,816"
2138,Genre: Sci-Fi Action,Mad Max:Fury Road,"Release Date: May 15, 2015"," $378,858,340"
2139,Genre: Comedy,Tammy,"Release Date: July 2, 2014"," $100,525,432"
2140,Genre: Horror,Annabelle:Creation,"Release Date: August 11, 2017"," $306,515,884"
2141,Genre: Comedy,The Other Woman (2014),"Release Date: April 25, 2014"," $196,710,396"
2142,Genre: Animation,Penguins of Madagascar,"Release Date: November 26, 2014"," $373,015,621"
2143,Genre: Action Comedy,Let's Be Cops,"Release Date: August 13, 2014"," $138,224,951"
2144,Genre: Action Drama,The Monuments Men,"Release Date: February 7, 2014"," $154,984,035"
2145,Genre: Action / Adventure,Hercules (2014),"Release Date: July 25, 2014"," $244,819,862"
2146,Genre: Thriller,The Purge:Anarchy,"Release Date: July 18, 2014"," $111,928,365"
2148,Genre: Comedy,Think Like a Man Too,"Release Date: June 20, 2014"," $70,181,428"
2149,Genre: Drama,Exodus:Gods and Kings,"Release Date: December 12, 2014"," $268,175,631"
2150,Genre: Animation,The Nut Job 2:Nutty by Nature,"Release Date: August 11, 2017"," $65,146,020"
2152,Genre: Drama,Son of God,"Release Date: February 28, 2014"," $67,800,064"
2153,Genre: Comedy,The Grand Budapest Hotel,"Release Date: March 7, 2014"," $174,801,324"
2154,Genre: Animation,Planes:Fire & Rescue,"Release Date: July 18, 2014"," $151,386,640"
2155,Genre: Sci-Fi Action,RoboCop (2014),"Release Date: February 12, 2014"," $242,688,965"
2156,Genre: Action Horror,Dracula Untold,"Release Date: October 10, 2014"," $217,124,280"
2157,Genre: Comedy,Horrible Bosses 2,"Release Date: November 26, 2014"," $107,670,357"
2158,Genre: Drama,The Hundred-Foot Journey,"Release Date: August 8, 2014"," $88,880,821"
2159,Genre: Thriller,No Good Deed (2014),"Release Date: September 12, 2014"," $54,323,210"
2160,Genre: Drama,Selma,"Release Date: December 25, 2014"," $66,787,908"
2161,Genre: Family Comedy,Muppets Most Wanted,"Release Date: March 21, 2014"," $80,383,290"
2162,Genre: Horror,Ouija:Origin of Evil,"Release Date: October 21, 2016"," $81,705,746"
2163,Genre: Animation,The Boxtrolls,"Release Date: September 26, 2014"," $109,285,033"
2164,Genre: Action Thriller,Jack Ryan:Shadow Recruit,"Release Date: January 17, 2014"," $135,511,030"
2165,Genre: Drama,If I Stay,"Release Date: August 22, 2014"," $78,874,843"
2166,Genre: Animation,The Book of Life (2014),"Release Date: October 17, 2014"," $99,783,556"
2167,Genre: Romantic Comedy,About Last Night (2014),"Release Date: February 14, 2014"," $49,002,684"
2168,Genre: Thriller,Into The Storm,"Release Date: August 8, 2014"," $161,702,194"
2169,Genre: Drama,The Judge,"Release Date: October 10, 2014"," $84,419,388"
2170,Genre: Musical,Jersey Boys,"Release Date: June 20, 2014"," $67,669,013"
2171,Genre: Romantic Comedy,Blended,"Release Date: May 23, 2014"," $128,034,610"
2172,Genre: Fantasy Drama,The Giver,"Release Date: August 15, 2014"," $66,980,456"
2173,Genre: Comedy,St. Vincent,"Release Date: October 10, 2014"," $54,837,234"
2174,Genre: Action,Need for Speed,"Release Date: March 14, 2014"," $203,277,636"
2175,Genre: Western Comedy,A Million Ways to Die in the West,"Release Date: May 30, 2014"," $87,189,756"
2177,Genre: Comedy / Drama,Birdman,"Release Date: October 17, 2014"," $103,215,094"
2178,Genre: Family,Dolphin Tale 2,"Release Date: September 12, 2014"," $57,824,533"
2179,Genre: Action,The Expendables 3,"Release Date: August 15, 2014"," $214,657,577"
2180,Genre: Adventure,Earth to Echo,"Release Date: July 2, 2014"," $45,336,704"
2181,Genre: Comedy,Sex Tape,"Release Date: July 18, 2014"," $126,069,509"
2183,Genre: Sports Drama,Million Dollar Arm,"Release Date: May 16, 2014"," $39,227,580"
2184,Genre: Drama,The Theory of Everything,"Release Date: November 7, 2014"," $123,726,688"
2185,Genre: Comedy,This is Where I Leave You,"Release Date: September 19, 2014"," $41,296,320"
2186,Genre: Crime Drama,The Gambler,"Release Date: December 25, 2014"," $39,280,992"
2187,Genre: Horror,Paranormal Activity:The Marked Ones,"Release Date: January 3, 2014"," $90,904,854"
2188,Genre: Crime Drama,Nightcrawler,"Release Date: October 31, 2014"," $38,697,217"
2189,Genre: Foreign,Le Chef,"Release Date: June 20, 2014"," $6,255,637"
2190,Genre: Music Drama,Get On Up,"Release Date: August 1, 2014"," $33,448,971"
2191,Genre: Action Thriller,3 Days to Kill,"Release Date: February 21, 2014"," $52,597,999"
2192,Genre: Horror,Deliver Us From Evil,"Release Date: July 2, 2014"," $87,937,815"
2193,Genre: Sports Drama,When the Game Stands Tall,"Release Date: August 22, 2014"," $30,127,963"
2194,Genre: Sports Drama,Draft Day,"Release Date: April 11, 2014"," $29,462,046"
2195,Genre: Horror,Oculus,"Release Date: April 11, 2014"," $44,030,246"
2196,Genre: Romance,The Best of Me,"Release Date: October 17, 2014"," $35,926,213"
2197,Genre: Drama,A Walk Among the Tombstones,"Release Date: September 19, 2014"," $53,181,600"
2198,Genre: Romantic Comedy,That Awkward Moment,"Release Date: January 31, 2014"," $40,468,955"
2199,Genre: Drama,Boyhood,"Release Date: July 11, 2014"," $44,495,281"
2200,Genre: Sci-Fi Fantasy,Star Wars:The Force Awakens,"Release Date: December 18, 2015"," $2,068,223,624"
2201,Genre: Action / Adventure,Jurassic World:Fallen Kingdom,"Release Date: June 22, 2018",Composer:
2202,Genre: Action / Adventure,Avengers:Age of Ultron,"Release Date: May 1, 2015"," $1,405,403,694"
2203,Genre: Animation,Inside Out,"Release Date: June 19, 2015"," $857,611,174"
2204,Genre: Action,Furious 7,"Release Date: April 3, 2015"," $1,516,045,911"
2206,Genre: Action / Adventure,The Hunger Games:Mockingjay - Part 2,"Release Date: November 20, 2015"," $653,428,261"
2209,Genre: Action,Spectre,"Release Date: November 6, 2015"," $880,674,609"
2210,Genre: Action,Mission:Impossible - Rogue Nation,"Release Date: July 31, 2015"," $682,714,267"
2211,Genre: Comedy,Pitch Perfect 2,"Release Date: May 15, 2015"," $287,506,194"
2212,Genre: Action / Adventure,The Revenant,"Release Date: December 25, 2015"," $532,950,503"
2215,Genre: Animation,Hotel Transylvania 2,"Release Date: September 25, 2015"," $473,226,958"
2216,Genre: Romance,Fifty Shades of Grey,"Release Date: February 13, 2015"," $571,006,128"
2217,Genre: Animation,The SpongeBob Movie:Sponge Out of Water,"Release Date: February 6, 2015"," $325,186,032"
2218,Genre: Drama,Straight Outta Compton,"Release Date: August 14, 2015"," $201,634,991"
2219,Genre: Action,San Andreas,"Release Date: May 29, 2015"," $473,990,832"
2220,Genre: Sci-Fi Action,Mad Max:Fury Road,"Release Date: May 15, 2015"," $378,858,340"
2221,Genre: Comedy,Daddy's Home 2,"Release Date: November 10, 2017"," $168,484,751"
2222,Genre: Action / Adventure,The Divergent Series:Insurgent,"Release Date: March 20, 2015"," $297,276,329"
2223,Genre: Animation,The Peanuts Movie,"Release Date: November 6, 2015"," $246,233,113"
2224,Genre: Action / Adventure,Kingsman:The Secret Service,"Release Date: February 13, 2015"," $414,351,546"
2225,Genre: Animation,The Good Dinosaur,"Release Date: November 25, 2015"," $332,207,671"
2227,Genre: Comedy,Trainwreck,"Release Date: July 17, 2015"," $140,795,793"
2228,Genre: Action,Assassin's Creed,"Release Date: December 21, 2016"," $240,697,856"
2229,Genre: Sci-Fi,Tomorrowland,"Release Date: May 22, 2015"," $209,154,322"
2230,Genre: Comedy,Get Hard,"Release Date: March 27, 2015"," $111,811,453"
2231,Genre: Action,Terminator:Genisys,"Release Date: July 1, 2015"," $440,603,537"
2232,Genre: Action,Taken 3,"Release Date: January 9, 2015"," $326,479,141"
2234,Genre: Family Comedy,Alvin and the Chipmunks:The Road Chip,"Release Date: December 18, 2015"," $234,798,636"
2235,Genre: Action / Adventure,Maze Runner:The Scorch Trials,"Release Date: September 18, 2015"," $312,325,103"
2236,Genre: Comedy,Ted 2,"Release Date: June 26, 2015"," $216,691,733"
2238,Genre: Action Comedy,Pixels,"Release Date: July 24, 2015"," $244,874,809"
2239,Genre: Family Adventure,Paddington 2,"Release Date: January 12, 2018"," $95,444,032"
2241,Genre: Thriller,Bridge of Spies,"Release Date: October 16, 2015"," $165,478,348"
2242,Genre: Comedy,Paul Blart:Mall Cop 2,"Release Date: April 17, 2015"," $107,588,225"
2243,Genre: Drama,The Big Short,"Release Date: December 11, 2015"," $133,440,870"
2244,Genre: Drama,War Room,"Release Date: August 28, 2015"," $67,790,117"
2245,Genre: Comedy / Drama,Magic Mike XXL,"Release Date: July 1, 2015"," $122,513,057"
2246,Genre: Horror,The Visit,"Release Date: September 11, 2015"," $98,450,062"
2247,Genre: Comedy,The Wedding Ringer,"Release Date: January 16, 2015"," $79,799,880"
2248,Genre: Crime Drama,Black Mass,"Release Date: September 18, 2015"," $99,775,678"
2250,Genre: Thriller,The Perfect Guy,"Release Date: September 11, 2015"," $60,273,173"
2251,Genre: Comedy / Drama,Joy,"Release Date: December 25, 2015"," $101,134,059"
2253,Genre: Western,The Hateful Eight,"Release Date: December 25, 2015"," $155,760,117"
2254,Genre: Comedy,Focus (2015),"Release Date: February 27, 2015"," $159,062,963"
2255,Genre: Drama,Southpaw,"Release Date: July 24, 2015"," $91,970,827"
2256,Genre: Horror,Insidious Chapter 3,"Release Date: June 5, 2015"," $112,983,889"
2258,Genre: Sci-Fi,Jupiter Ascending,"Release Date: February 6, 2015"," $183,987,723"
2260,Genre: Action,The Man From U.N.C.L.E.,"Release Date: August 14, 2015"," $109,845,109"
2261,Genre: Drama,Spotlight,"Release Date: November 6, 2015"," $88,346,473"
2265,Genre: Comedy,The Night Before,"Release Date: November 20, 2015"," $52,395,996"
2266,Genre: Horror Comedy,Krampus,"Release Date: December 4, 2015"," $61,548,707"
2267,Genre: Comedy,Max & Leon,"Release Date: March 15, 2017", $543
2268,Genre: Drama,The Age of Adaline,"Release Date: April 24, 2015"," $65,663,276"
2270,Genre: Romance,The Longest Ride,"Release Date: April 10, 2015"," $62,944,815"
2271,Genre: Thriller,The Boy Next Door,"Release Date: January 23, 2015"," $52,425,855"
2272,Genre: Action / Adventure,Black Panther,"Release Date: February 16, 2018",Composer:
2273,Genre: Comedy,Hot Pursuit,"Release Date: May 8, 2015"," $51,680,201"
2274,Genre: Drama,Concussion (2015),"Release Date: December 25, 2015"," $48,623,572"
2275,Genre: Comedy,The DUFF,"Release Date: February 20, 2015"," $43,528,634"
2276,Genre: Drama,Woman in Gold,"Release Date: April 1, 2015"," $61,619,773"
2277,Genre: Comedy / Drama,The Second Best Exotic Marigold Hotel,"Release Date: March 6, 2015"," $85,978,266"
2278,Genre: Horror,Unfriended,"Release Date: April 17, 2015"," $64,056,643"
2279,Genre: Comedy,Entourage,"Release Date: June 3, 2015"," $49,263,404"
2280,Genre: Drama,Paper Towns,"Release Date: July 24, 2015"," $85,512,300"
2281,Genre: Sci-Fi Action,Chappie,"Release Date: March 6, 2015"," $102,069,268"
2282,Genre: Horror,Crimson Peak,"Release Date: October 16, 2015"," $74,679,822"
2283,Genre: Comedy,A Walk in the Woods,"Release Date: September 2, 2015"," $37,461,274"
2284,Genre: Action,Point Break (2015),"Release Date: December 25, 2015"," $133,718,711"
2285,Genre: Horror,Sinister 2,"Release Date: August 21, 2015"," $52,882,018"
2286,Genre: Action Fantasy,The Last Witch Hunter,"Release Date: October 23, 2015"," $146,936,910"
2287,Genre: Action,No Escape,"Release Date: August 26, 2015"," $54,418,872"
2288,Genre: Comedy / Drama,Ricki and the Flash,"Release Date: August 7, 2015"," $41,325,328"
2289,Genre: Horror,The Woman in Black 2:Angel of Death,"Release Date: January 2, 2015"," $48,854,305"
2290,Genre: Action,Run All Night,"Release Date: March 13, 2015"," $71,661,644"
2291,Genre: Comedy,Love the Coopers,"Release Date: November 13, 2015"," $42,426,912"
2292,Genre: Horror,The Lazarus Effect,"Release Date: February 27, 2015"," $38,358,787"
2293,Genre: Sci-Fi Thriller,Ex Machina,"Release Date: April 10, 2015"," $36,869,414"
2294,Genre: Drama,In the Heart of the Sea,"Release Date: December 11, 2015"," $93,920,758"
2296,Genre: Action / Adventure,Hitman:Agent 47,"Release Date: August 21, 2015"," $82,347,656"
2297,Genre: Sci-Fi,Project Almanac,"Release Date: January 30, 2015"," $33,213,241"
2298,Genre: Drama,Black or White,"Release Date: January 30, 2015"," $21,571,189"
2299,Genre: Comedy / Drama,Aloha,"Release Date: May 29, 2015"," $26,250,020"
2300,Genre: Sci-Fi Adventure,Rogue One:A Star Wars Story,"Release Date: December 16, 2016"," $1,056,057,273"
2301,Genre: Animation,Finding Dory,"Release Date: June 17, 2016"," $1,028,570,889"
2302,Genre: Action / Adventure,Captain America:Civil War,"Release Date: May 6, 2016"," $1,153,304,495"
2304,Genre: Adventure,The Jungle Book (2016),"Release Date: April 15, 2016"," $966,550,600"
2306,Genre: Animation,Zootopia,"Release Date: March 4, 2016"," $1,023,784,195"
2307,Genre: Action / Adventure,Batman v Superman:Dawn of Justice,"Release Date: March 25, 2016"," $873,634,919"
2308,Genre: Action / Adventure,Suicide Squad,"Release Date: August 5, 2016"," $746,846,894"
2310,Genre: Animation,Moana,"Release Date: November 23, 2016"," $643,331,111"
2311,Genre: Fantasy,Fantastic Beasts and Where To Find Them,"Release Date: November 18, 2016"," $814,037,575"
2312,Genre: Action / Adventure,Doctor Strange,"Release Date: November 4, 2016"," $677,718,395"
2313,Genre: Drama,Hidden Figures,"Release Date: December 25, 2016"," $235,625,681"
2314,Genre: Action,Jason Bourne,"Release Date: July 29, 2016"," $415,484,914"
2315,Genre: Sci-Fi Adventure,Star Trek Beyond,"Release Date: July 22, 2016"," $343,471,816"
2316,Genre: Action / Adventure,X-Men:Apocalypse,"Release Date: May 27, 2016"," $543,934,787"
2318,Genre: Musical,La La Land,"Release Date: December 9, 2016"," $446,050,389"
2319,Genre: Animation,Kung Fu Panda 3,"Release Date: January 29, 2016"," $521,170,825"
2320,Genre: Horror Comedy,Ghostbusters (2016),"Release Date: July 15, 2016"," $229,147,509"
2321,Genre: Comedy,Central Intelligence,"Release Date: June 17, 2016"," $216,972,543"
2322,Genre: Action / Adventure,The Legend of Tarzan,"Release Date: July 1, 2016"," $356,700,357"
2323,Genre: Drama,Sully,"Release Date: September 9, 2016"," $240,797,623"
2324,Genre: Comedy,A Bad Moms Christmas,"Release Date: November 1, 2017"," $125,729,184"
2326,Genre: Sci-Fi Adventure,Independence Day:Resurgence,"Release Date: June 24, 2016"," $389,681,935"
2327,Genre: Horror,The Conjuring 2,"Release Date: June 10, 2016"," $320,392,818"
2329,Genre: Sci-Fi,Passengers (2016),"Release Date: December 21, 2016"," $303,144,152"
2330,Genre: Animation,Sausage Party,"Release Date: August 12, 2016"," $140,705,322"
2331,Genre: Western,The Magnificent Seven (2016),"Release Date: September 23, 2016"," $162,360,636"
2332,Genre: Action Comedy,Ride Along 2,"Release Date: January 15, 2016"," $124,605,297"
2333,Genre: Horror Thriller,Don't Breathe,"Release Date: August 26, 2016"," $157,100,845"
2334,Genre: Fantasy,Miss Peregrine's Home for Peculiar Children,"Release Date: September 30, 2016"," $296,485,719"
2335,Genre: Drama,The Accountant,"Release Date: October 14, 2016"," $155,160,045"
2336,Genre: Action / Adventure,Teenage Mutant Ninja Turtles:Out of the Shadows,"Release Date: June 3, 2016"," $245,623,848"
2337,Genre: Thriller,The Purge:Election Year,"Release Date: July 1, 2016"," $118,587,880"
2338,Genre: Family Adventure,Alice Through the Looking Glass,"Release Date: May 27, 2016"," $299,457,024"
2339,Genre: Family,Pete's Dragon (2016),"Release Date: August 12, 2016"," $143,695,338"
2340,Genre: Thriller,The Girl on the Train (2016),"Release Date: October 7, 2016"," $173,185,859"
2341,Genre: Horror Comedy,Boo! A Madea Halloween,"Release Date: October 21, 2016"," $74,827,344"
2342,Genre: Animation,Storks,"Release Date: September 23, 2016"," $183,388,953"
2343,Genre: Thriller,10 Cloverfield Lane,"Release Date: March 11, 2016"," $110,216,998"
2344,Genre: Horror,Lights Out,"Release Date: July 22, 2016"," $148,868,835"
2345,Genre: Action Drama,Hacksaw Ridge,"Release Date: November 4, 2016"," $175,302,354"
2346,Genre: Action / Adventure,The Divergent Series:Allegiant,"Release Date: March 18, 2016"," $179,246,868"
2347,Genre: Thriller,Now You See Me 2,"Release Date: June 10, 2016"," $334,901,337"
2348,Genre: Animation,Ice Age:Collision Course,"Release Date: July 22, 2016"," $408,579,038"
2350,Genre: Action,London Has Fallen,"Release Date: March 4, 2016"," $205,754,447"
2351,Genre: Drama,Miracles from Heaven,"Release Date: March 16, 2016"," $73,883,359"
2352,Genre: Action Drama,Deepwater Horizon,"Release Date: September 30, 2016"," $121,790,373"
2353,Genre: Comedy,Why Him?,"Release Date: December 23, 2016"," $118,034,273"
2354,Genre: Comedy,My Big Fat Greek Wedding 2,"Release Date: March 25, 2016"," $88,923,251"
2355,Genre: Crime Drama,Jack Reacher:Never Go Back,"Release Date: October 21, 2016"," $162,146,076"
2356,Genre: Drama,Fences,"Release Date: December 16, 2016"," $64,414,761"
2357,Genre: Romance,Me Before You,"Release Date: June 3, 2016"," $208,314,186"
2358,Genre: Adventure,The BFG,"Release Date: July 1, 2016"," $183,345,589"
2359,Genre: Comedy,Neighbors 2:Sorority Rising,"Release Date: May 20, 2016"," $108,007,109"
2360,Genre: Horror,The Shallows,"Release Date: June 24, 2016"," $119,100,758"
2361,Genre: Comedy,Office Christmas Party,"Release Date: December 9, 2016"," $114,501,299"
2362,Genre: Action,Assassin's Creed,"Release Date: December 21, 2016"," $240,697,856"
2363,Genre: Comedy,Barbershop:The Next Cut,"Release Date: April 15, 2016"," $55,030,051"
2366,Genre: Action / Adventure,The Huntsman:Winter's War,"Release Date: April 22, 2016"," $164,989,338"
2367,Genre: Animation,Kubo and the Two Strings,"Release Date: August 19, 2016"," $69,929,545"
2368,Genre: Drama,Manchester by the Sea,"Release Date: November 18, 2016"," $77,540,122"
2369,Genre: Fantasy,Warcraft,"Release Date: June 10, 2016"," $433,677,183"
2370,Genre: Romantic Comedy,How to Be Single,"Release Date: February 12, 2016"," $112,343,513"
2371,Genre: Comedy,Mike and Dave Need Wedding Dates,"Release Date: July 8, 2016"," $77,068,246"
2372,Genre: Comedy / Drama,War Dogs,"Release Date: August 19, 2016"," $86,234,523"
2373,Genre: Comedy,Almost Christmas,"Release Date: November 11, 2016"," $42,487,325"
2374,Genre: Drama / Thriller,Money Monster,"Release Date: May 13, 2016"," $93,282,604"
2375,Genre: Romantic Thriller,Allied,"Release Date: November 23, 2016"," $119,520,023"
