Age,Athlete,Country,Medal,NOC,Rank,Time,Year
28,Marc Girardelli,Luxembourg,,LUX,,,1992
27,GÃ¼nther Mader,Austria,,AUT,,,1992
29,Boris Duncan,Great Britain,,GBR,,,1992
21,Tom Stiansen,Norway,,NOR,,,1992
24,Abraham FernÃ¡ndez,Spain,,ESP,,,1992
30,Felix Belczyk,Canada,,CAN,,,1992
29,Hubert Strolz,Austria,,AUT,,,1992
20,Paulo Oppliger,Chile,,CHI,,,1992
24,Aurel Foiciuc,Romania,,ROU,,,1992
25,Denis Rey,France,,FRA,,,1992
23,Adrien Duvillard,France,,FRA,,,1992
23,Lasse Kjus,Norway,Gold,NOR,1,3:17.53,1994
22,Kjetil AndrÃ© Aamodt,Norway,Silver,NOR,2,3:18.55,1994
22,Harald Christian Strand Nilsen,Norway,Bronze,NOR,3,3:19.14,1994
29,GÃ¼nther Mader,Austria,,AUT,4,3:19.23,1994
23,Tommy Moe,United States,,USA,5,3:19.41,1994
26,Paul Accola,Switzerland,,SUI,6,3:19.44,1994
22,Mitja Kunc,Slovenia,,SLO,7,3:19.55,1994
24,Fredrik Nyberg,Sweden,,SWE,8,3:20.30,1994
30,Marc Girardelli,Luxembourg,,LUX,9,3:20.47,1994
21,Jure KoÅ¡ir,Slovenia,,SLO,10,3:20.58,1994
21,Miran Ravter,Slovenia,,SLO,11,3:20.68,1994
26,Steve Locher,Switzerland,,SUI,12,3:21.21,1994
21,Tobias Hellman,Sweden,,SWE,13,3:21.74,1994
24,Tobias Barnerssoi,Germany,,GER,14,3:22.49,1994
23,Gianfranco Martin,Italy,,ITA,15,3:22.69,1994
24,Kristian Ghedina,Italy,,ITA,16,3:23.17,1994
26,Marcel Sulliger,Switzerland,,SUI,17,3:24.00,1994
27,Atle SkÃ¥rdal,Norway,,NOR,18,3:24.28,1994
26,Lyubomir Popov,Bulgaria,,BUL,19,3:25.04,1994
27,Simon Wi Rutene,New Zealand,,NZL,20,3:25.48,1994
21,Mika Marila,Finland,,FIN,21,3:25.52,1994
22,Janne Leskinen,Finland,,FIN,22,3:25.53,1994
23,Gregor Grilc,Slovenia,,SLO,23,3:26.03,1994
23,Achim Vogt,Liechtenstein,,LIE,24,3:26.23,1994
23,Xavier Ubeira,Spain,,ESP,25,3:26.92,1994
24,Petar Dichev,Bulgaria,,BUL,26,3:28.61,1994
22,Marcin SzafraÅski,Poland,,POL,27,3:31.27,1994
24,Vicente Tomas,Spain,,ESP,28,3:31.61,1994
22,Andrey Kolotvin,Kazakhstan,,KAZ,29,3:34.59,1994
22,Attila BÃ³nis,Hungary,,HUN,30,3:34.76,1994
25,Kyle Rasmussen,United States,,USA,31,3:37.54,1994
23,Diego Margozzini,Chile,,CHI,32,3:42.39,1994
22,Marco BÃ¼chel,Liechtenstein,,LIE,33,3:47.85,1994
20,Alessandro Fattori,Italy,,ITA,,,1994
23,Kiminobu Kimura,Japan,,JPN,,,1994
23,Gerard Escoda,Andorra,,AND,,,1994
24,Cary Mullen,Canada,,CAN,,,1994
23,Ed Podivinsky,Canada,,CAN,,,1994
19,Andrey Filichkin,Russia,,RUS,,,1994
19,Vasily Bezsmelnitsyn,Russia,,RUS,,,1994
22,Takuya Ishioka,Japan,,JPN,,,1994
20,Zurab Dzhidzhishvili,Georgia,,GEO,,,1994
27,Alexis Racloz,Chile,,CHI,,,1994
19,MarÃ­ano Puricelli,Argentina,,ARG,,,1994
22,Christian Mayer,Austria,,AUT,,,1994
23,Hans KnauÃ,Austria,,AUT,,,1994
26,Bill Gaylord,Great Britain,,GBR,,,1994
28,Graham Bell,Great Britain,,GBR,,,1994
30,Markus Wasmeier,Germany,,GER,,,1994
22,Chad Fleischer,United States,,USA,,,1994
19,Georges Mendes,Portugal,,POR,,,1994
23,Craig Thrasher,United States,,USA,,,1994
26,Nils Linneberg,Chile,,CHI,,,1994
27,Jean-Luc CrÃ©tier,France,,FRA,,,1994
24,Patrik JÃ¤rbyn,Sweden,,SWE,,,1994
25,Ovidio GarcÃ­a,Spain,,ESP,,,1994
27,Mario Reiter,Austria,Gold,AUT,1,3:08.06,1998
27,Lasse Kjus,Norway,Silver,NOR,2,3:08.65,1998
