,Exporter,Importer,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,Millions_Total
39,China,Libya,35.86166,104.195397,26.3351,17.228331,0.0,8766.0
38,China,Laos,35.86166,104.195397,19.85627,102.495496,31.0,8766.0
37,China,Kuwait,35.86166,104.195397,29.31166,47.481766,0.0,8766.0
35,China,Kazakhstan,35.86166,104.195397,48.019573,66.923684,6.0,8766.0
22,China,Equatorial Guinea,35.86166,104.195397,1.6508009999999995,10.267895,0.0,8766.0
34,China,Jordan,35.86166,104.195397,30.585164,36.238414,9.0,8766.0
33,China,Iraq,35.86166,104.195397,33.223191,43.679291,17.0,8766.0
32,China,Iran,35.86166,104.195397,32.427908,53.68804599999999,58.0,8766.0
31,China,Indonesia,35.86166,104.195397,-0.789275,113.921327,271.0,8766.0
30,China,Guyana,35.86166,104.195397,4.860416000000002,-58.93018000000001,0.0,8766.0
29,China,Guinea-Bissau,35.86166,104.195397,11.803749,-15.180413,0.0,8766.0
28,China,Guinea,35.86166,104.195397,9.945587,-9.696645,0.0,8766.0
27,China,Ghana,35.86166,104.195397,7.9465270000000015,-1.0231940000000002,35.0,8766.0
26,China,Gambia,35.86166,104.195397,13.443182,-15.310139,0.0,8766.0
25,China,Gabon,35.86166,104.195397,-0.803689,11.609444,0.0,8766.0
24,China,Ethiopia,35.86166,104.195397,9.145,40.489673,54.0,8766.0
23,China,Eritrea,35.86166,104.195397,15.179384,39.78233400000001,0.0,8766.0
61,China,Somalia,35.86166,104.195397,5.152149,46.199616,0.0,8766.0
62,China,Sri Lanka,35.86166,104.195397,7.873054,80.77179699999998,0.0,8766.0
63,China,Sudan,35.86166,104.195397,12.862807,30.217636,140.0,8766.0
72,China,Uganda,35.86166,104.195397,1.373333,32.290275,0.0,8766.0
64,China,Syria,35.86166,104.195397,34.802075,38.99681500000001,5.0,8766.0
77,China,Zimbabwe,35.86166,104.195397,-19.015438,29.154857,0.0,8766.0
76,China,Zambia,35.86166,104.195397,-13.133897,27.849332,77.0,8766.0
75,China,Yemen,35.86166,104.195397,15.552727,48.516388,0.0,8766.0
74,China,Vietnam,35.86166,104.195397,14.058324,108.277199,0.0,8766.0
73,China,Venezuela,35.86166,104.195397,6.42375,-66.58973,398.0,8766.0
49,China,Niger,35.86166,104.195397,17.607789,8.081666,0.0,8766.0
71,China,Turkmenistan,35.86166,104.195397,38.969719,59.556278000000006,230.0,8766.0
69,China,Tunisia,35.86166,104.195397,33.886917,9.537499,0.0,8766.0
68,China,Trinidad and Tobago,35.86166,104.195397,10.691803,-61.222503,16.0,8766.0
67,China,Timor-Leste,35.86166,104.195397,-8.874217,125.727539,0.0,8766.0
66,China,Thailand,35.86166,104.195397,15.870032,100.992541,129.0,8766.0
70,China,Turkey,35.86166,104.195397,38.963745,35.243322,35.0,8766.0
65,China,Tanzania,35.86166,104.195397,-6.369028,34.888822,247.0,8766.0
214,Germany,Brazil,51.165691,10.451526,-14.235004,-51.92528,167.0,7804.0
221,Germany,China,51.165691,10.451526,35.86166,104.195397,40.0,7804.0
